cluster,Planck_mass,CNN_mass,err+,err-,redshift,Y_500,err_Y
PSZ2G000.04+45.13.fits,14.597959486463145,14.702955,0.06578159,0.056624413,0.1198000013828278,2.692877950794072,0.6274084873244091
PSZ2G000.13+78.04.fits,14.709472704320572,14.700323,0.066370964,0.056035995,0.1710000038146973,2.6799469752355343,0.5703832823975911
PSZ2G000.40-41.86.fits,14.724034306861348,14.724625,0.06329155,0.055892944,0.1650999933481216,2.971672654939465,0.633653226595358
PSZ2G000.77-35.69.fits,14.801648019222965,14.751867,0.06476498,0.056031227,0.3416000008583069,3.236663695159893,0.7448570350423641
PSZ2G002.08-68.28.fits,14.4525985018202,14.540361,0.07552338,0.08553791,0.1400000005960464,1.4659255652639744,0.5506645540028499
PSZ2G002.42+69.64.fits,14.545356701415482,14.592175,0.07901764,0.08365345,0.1805180460214615,1.7780520645535767,0.5986336352475949
PSZ2G002.77-56.16.fits,14.644550040028346,14.734835,0.063838005,0.0553474429999999,0.1411000043153763,3.0287284295940453,0.6241270910462717
PSZ2G002.82+39.23.fits,14.758610410889824,14.811413,0.067938805,0.056077957,0.1533000022172928,4.064074524409662,0.8769258132973121
PSZ2G003.91-42.03.fits,14.673592597616224,14.733671,0.06428528,0.05490017,0.152099996805191,3.0036564245131134,0.6492847480878643
PSZ2G003.93-59.41.fits,14.857015956778495,14.905423999999998,0.06370258,0.05387211,0.1509999930858612,5.724628374266178,1.1806181461606884
PSZ2G004.04+42.23.fits,14.555342612993714,14.583666,0.07695198,0.08410931,0.1512721329927444,1.7430473606631978,0.5870102872255546
PSZ2G004.13+56.81.fits,14.852651847113853,14.826258,0.06828785,0.0541181559999999,0.3799999952316284,4.274833258231711,0.9448421987106708
PSZ2G004.45-19.55.fits,15.015231071689884,14.992352,0.062047005,0.07002354,0.5400000214576721,7.931865529013785,2.1698161828066573
PSZ2G005.91-28.26.fits,14.63210205275723,14.608002,0.08034992,0.08232212,0.1728000044822693,1.8968999602541956,0.6016506756359643
PSZ2G006.05+29.43.fits,14.741548397595654,14.85113,0.0657796859999999,0.05340576,0.2522999942302704,4.743203903300951,0.9649088040157301
PSZ2G006.38+62.03.fits,14.682501838855709,14.780157,0.06567383,0.056732178,0.2357116192579269,3.6465467690878195,0.7940387522542846
PSZ2G006.49+50.56.fits,14.847540827647643,14.813553,0.068468094,0.0555486679999999,0.0766000002622604,4.072992198150061,0.8841969482768152
PSZ2G006.68-35.55.fits,14.619790431554163,14.564014000000002,0.075016975,0.0844335559999999,0.0894000008702278,1.6223612729035934,0.5468836947826303
PSZ2G006.76+30.45.fits,15.207269881787756,15.329117000000002,0.30539703,0.0424957279999999,0.2029999941587448,28.3043145862104,4.762713714568188
PSZ2G006.82-34.71.fits,14.498665232408664,14.669922,0.073013306,0.062277794,0.1397999972105026,2.417952672823716,0.6216643424068047
PSZ2G006.84+50.69.fits,14.265858802037986,14.683632,0.06900692,0.058231354,0.0757276862859726,2.5148529014518948,0.5607207044257181
PSZ2G007.57-33.90.fits,14.79752521628604,14.841869,0.06618309,0.054613113,0.550000011920929,4.547976494806322,0.9700132369020706
PSZ2G007.76-36.83.fits,14.421374989081786,14.533596,0.07681084,0.08747196,0.0894619971513748,1.4397744024214818,0.4836050650514143
PSZ2G008.31-64.74.fits,14.88906229653881,14.922148000000002,0.064320564,0.0548648829999999,0.3120000064373016,6.244124066800623,1.2554767110051184
PSZ2G008.47-56.34.fits,14.680513033038531,14.775753,0.06610203,0.05630493,0.1485999971628189,3.569466648787211,0.7973038132449721
PSZ2G008.80-35.18.fits,14.47356306727404,14.311924,0.08223438,0.07882595,0.0935999974608421,0.6169626282660838,0.19319183434254422
PSZ2G008.94-81.22.fits,14.992804559483789,15.037315,0.050639153,0.07659912,0.3066000044345856,9.503709592107564,2.9875030937307923
PSZ2G009.45-56.93.fits,14.604342251884606,14.691397,0.067108154,0.05690956,0.1544000059366226,2.6121465057260265,0.5660292999362346
PSZ2G011.06-63.84.fits,14.609647900715425,14.800249,0.06804943,0.05596733,0.2240000069141388,3.88875480086093,0.8423614248896897
PSZ2G011.36+49.42.fits,14.27176856708054,14.597647,0.07965851,0.083013535,0.0441999994218349,1.812448569525325,0.5798270694937848
PSZ2G011.72-37.96.fits,14.730300288334856,14.721357,0.06324577,0.055939674,0.3230000138282776,2.902370887361653,0.626139380585024
PSZ2G012.59-20.10.fits,14.843509200086965,14.783197,0.067103386,0.0569133759999999,0.3519999980926514,3.6427334128328948,0.7897482989505021
PSZ2G012.81+49.68.fits,14.278330712689042,14.35894,0.08254337,0.07690716,0.0355000011622905,0.7336754410537198,0.22232822728186316
PSZ2G013.74-45.53.fits,14.682203663185469,14.724199,0.06447697,0.05470848,0.3230330049991608,2.9394510685459707,0.6341309557515249
PSZ2G014.09+38.38.fits,14.674472449223336,14.738142000000002,0.063923836,0.05526066,0.2222000062465668,3.0973922240648992,0.6424719728928827
PSZ2G014.33+60.23.fits,14.64007483153661,14.738552,0.0643339159999999,0.056461334,0.2198335528373718,3.1481282696959774,0.7037623101921654
PSZ2G015.75-28.66.fits,14.513241959510246,14.593014000000002,0.07824612,0.08281422,0.1490000039339066,1.7904984566417186,0.5760742584445665
PSZ2G018.18-60.00.fits,14.687390643697336,14.734926000000002,0.06392956,0.05525589,0.2515000104904175,3.0409630986981684,0.6511235807186899
PSZ2G018.32-28.50.fits,14.706910925804277,14.767523,0.065924644,0.05648136,0.1612000018358231,3.4426699699983567,0.754519601346536
PSZ2G018.54-25.69.fits,14.953854760171987,14.945379,0.065003395,0.059013367,0.3170999884605408,6.733201986618109,1.5830953808481887
PSZ2G018.73+23.56.fits,14.598662717432743,14.586998,0.07706261,0.08399868,0.0890000015497207,1.7586453720553317,0.5963534807375855
